MAE,RMSE,MAPE,model,state
8644605.77,9697240.68,4.2,Gradient Boosting,Alabama
12315613.88,14312103.61,5.46,Gradient Boosting,Arizona
5093965.37,5530091.19,4.61,Gradient Boosting,Arkansas
21403869.62,27380383.2,2.52,Gradient Boosting,California
2117924.73,2711569.43,1.24,Gradient Boosting,Colorado
2223608.49,2608704.96,2.5,Gradient Boosting,Connecticut
31416707.31,34517737.98,4.19,Gradient Boosting,Florida
6917237.47,8447770.3,1.86,Gradient Boosting,Georgia
11430321.13,13340835.13,3.6,Gradient Boosting,Illinois
5061955.8,5953796.66,2.29,Gradient Boosting,Indiana
2385036.87,2740011.22,2.06,Gradient Boosting,Iowa
2292327.73,2822310.87,2.51,Gradient Boosting,Kansas
3170682.58,4017344.17,1.84,Gradient Boosting,Kentucky
5491284.11,6471531.81,3.01,Gradient Boosting,Louisiana
1183097.38,1445888.3,2.59,Gradient Boosting,Maine
2536010.01,3266916.2,1.59,Gradient Boosting,Maryland
4865055.16,5968712.43,2.63,Gradient Boosting,Massachusetts
4726001.81,6194840.62,1.66,Gradient Boosting,Michigan
2697291.6,3616297.83,1.77,Gradient Boosting,Minnesota
2983863.25,3579674.73,2.45,Gradient Boosting,Mississippi
6659788.8,7596318.26,3.39,Gradient Boosting,Missouri
1817907.82,2134268.2,2.89,Gradient Boosting,Nebraska
2032213.3,2456970.76,2.01,Gradient Boosting,Nevada
1411039.58,1784743.7,2.59,Gradient Boosting,New Hampshire
2381716.97,2731515.34,3.24,Gradient Boosting,New Mexico
8326706.46,10209967.51,1.91,Gradient Boosting,New York
7231537.39,7947515.16,2.04,Gradient Boosting,North Carolina
8961282.85,10251172.96,2.43,Gradient Boosting,Ohio
6317254.16,6897274.2,4.29,Gradient Boosting,Oklahoma
3162008.01,3909853.57,2.77,Gradient Boosting,Oregon
6195055.44,7525370.82,1.75,Gradient Boosting,Pennsylvania
989948.43,1118450.2,3.72,Gradient Boosting,Rhode Island
6392934.29,7041626.89,3.26,Gradient Boosting,South Carolina
608741.33,828704.27,2.2,Gradient Boosting,South Dakota
