MAE,RMSE,MAPE,model,state
13772319.1,17443526.36,6.84,SARIMA,Alabama
10276493.58,13649505.25,4.79,SARIMA,Arizona
7324453.27,9052547.67,6.8,SARIMA,Arkansas
55476598.32,73763001.67,6.75,SARIMA,California
11327215.25,14578663.25,6.61,SARIMA,Colorado
5322739.07,6438578.03,6.03,SARIMA,Connecticut
32003980.39,42843573.89,4.38,SARIMA,Florida
26480621.31,33502548.9,7.16,SARIMA,Georgia
18145408.87,22817408.66,5.89,SARIMA,Illinois
13189634.11,16964564.16,6.13,SARIMA,Indiana
7020048.69,9105184.25,6.25,SARIMA,Iowa
4590549.97,5764547.02,5.21,SARIMA,Kansas
11229242.15,13948698.33,6.67,SARIMA,Kentucky
10686163.34,13723158.47,6.09,SARIMA,Louisiana
5402143.35,7096799.37,11.81,SARIMA,Maine
10991807.39,13760349.63,6.98,SARIMA,Maryland
12062595.62,15218824.8,6.68,SARIMA,Massachusetts
19471532.22,25225275.46,6.9,SARIMA,Michigan
9119595.64,12185694.66,6.0,SARIMA,Minnesota
11089347.54,12992083.33,9.14,SARIMA,Mississippi
13925005.39,16857646.1,7.3,SARIMA,Missouri
3499830.04,4585256.0,5.78,SARIMA,Nebraska
7692444.41,9623430.57,7.79,SARIMA,Nevada
4077600.82,5312645.03,7.49,SARIMA,New Hampshire
4937727.22,6249155.42,7.01,SARIMA,New Mexico
30796609.06,38526710.98,7.22,SARIMA,New York
25935896.47,33431733.3,7.44,SARIMA,North Carolina
25573206.8,32519262.73,7.09,SARIMA,Ohio
8084995.53,10325300.01,5.61,SARIMA,Oklahoma
8198825.9,10964173.26,7.31,SARIMA,Oregon
25017161.2,30758586.86,7.08,SARIMA,Pennsylvania
1887519.57,2337845.66,7.17,SARIMA,Rhode Island
15249399.66,18905352.6,7.95,SARIMA,South Carolina
2875490.69,3782282.15,10.32,SARIMA,South Dakota
20056105.73,24422768.18,7.88,SARIMA,Tennessee
61257403.85,76475023.74,6.96,SARIMA,Texas
5931366.32,7808825.23,7.35,SARIMA,Utah
1338820.7,1707544.25,7.32,SARIMA,Vermont
18682460.85,23816812.51,6.59,SARIMA,Virginia
12405517.24,16474705.32,6.72,SARIMA,Washington
3718571.77,4643528.58,5.03,SARIMA,West Virginia
10753615.29,13779026.06,7.01,SARIMA,Wisconsin
1994877.28,2580730.95,9.43,SARIMA,Wyoming
8479487.06,10805379.07,4.23,Prophet,Alabama
8128866.49,10284888.51,3.78,Prophet,Arizona
4526330.14,5732313.13,4.24,Prophet,Arkansas
45980141.21,57288997.76,5.61,Prophet,California
8981635.22,10944622.86,5.28,Prophet,Colorado
5272206.88,5954786.79,5.99,Prophet,Connecticut
21164012.33,26407884.1,2.9,Prophet,Florida
19874113.64,23819116.63,5.37,Prophet,Georgia
16645016.93,20042319.73,5.43,Prophet,Illinois
8131227.01,10582258.34,3.8,Prophet,Indiana
5736377.39,6973140.74,5.12,Prophet,Iowa
