Date,State,Total,year,month,week,day_of_week,quarter,month_sin,month_cos,week_sin,week_cos,lag_1,lag_7,lag_30,rmean_4,rstd_4,rmean_8,rstd_8,rmean_13,rstd_13,rmean_26,rstd_26,rmean_52,rstd_52,rmin_13,rmax_13,expanding_mean,state_code,is_holiday,pct_wow,pct_mom,pct_yoy
2020-01-12,Alabama,120522113.9,2020,1,2,6,1,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,116651493.0,113040422.1,129106730.4,112167861.65,5154431.143144902,111542144.65,3624785.8282095576,111915853.58461538,3612650.417073434,112595823.63782051,3500993.7794398805,115124878.89711538,5831631.234544102,106949922.2,117357599.3,115124878.89711538,0,0,0.03318106610088578,0.11051163812553777,0.09991489133429399
2020-01-19,Alabama,105904865.60000001,2020,1,3,6,1,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,120522113.9,111536433.53333333,126770840.77777778,115166276.025,5781890.874513365,112975357.6375,4629126.442478065,112159277.78461538,4085540.7351428038,112625013.71431623,3565708.78545563,115335418.85673077,5824925.054756791,106949922.2,120522113.9,115226713.51981132,0,1,-0.1212827076044175,-0.09126965548560662,-0.036041941824091595
2020-01-26,Alabama,106265736.60000001,2020,1,4,6,1,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,105904865.60000001,110032444.96666667,124434951.15555556,112507098.675,7208517.307763845,112083413.075,5259342.500875823,111365889.83846155,4230383.616705384,112181843.84166667,3659777.03061963,115259270.13579059,5922905.4934901185,105904865.60000001,120522113.9,115054086.70648147,0,0,0.0034075016096333233,-0.006397251965462369,-0.035308609246116784
2020-02-02,Alabama,108358279.6,2020,2,5,6,1,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,106265736.60000001,108528456.4,122099061.53333333,112336052.275,7390163.011782075,111424575.95833334,5653045.032407838,111081099.53076924,4451187.776619465,111842395.53141025,3786228.700632771,115184473.49006411,6012506.728463735,105904865.60000001,120522113.9,114894298.52272727,0,0,0.01969160584541596,-0.07109393276260945,-0.018900194295674355
2020-02-09,Alabama,131945461.10000001,2020,2,6,6,1,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,108358279.6,116541575.0,119763171.91111112,110262748.92500001,6924565.635008904,111215305.28750001,5742227.267219797,110980648.44358975,4500293.329739031,111673271.55277777,3841613.290828059,115144330.30416666,6051607.284038233,105904865.60000001,120522113.9,114777583.89910714,0,0,0.21767770388262986,0.09478216760683611,0.19152865839556932
2020-02-16,Alabama,107397612.3,2020,2,7,6,1,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,131945461.10000001,106949922.2,117427282.28888889,113118585.72500001,12597765.012907894,114142430.87500001,9140083.676899776,112717970.3076923,7306912.890897958,112501188.77115384,5515498.9159795735,115552199.01079059,6450286.649769003,105904865.60000001,131945461.10000001,115078774.72719298,0,1,-0.18604542054990025,0.014095166369768597,-0.032687940774943525
2020-02-23,Alabama,107801054.30000001,2020,2,8,6,1,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,107397612.3,116651493.0,115091392.66666667,113491772.4,12332149.794628602,112999435.53750001,9366147.902266188,112590370.48461539,7390191.895863036,112474799.8673077,5539070.671509577,115482405.95032051,6519475.061861746,105904865.60000001,131945461.10000001,114946340.89224137,0,0,0.0037565267174939354,0.014447909073261878,-0.03158859059092112
2020-03-01,Alabama,117933592.6,2020,3,9,6,1,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,107801054.30000001,120522113.9,112755503.04444444,113875601.825,12053009.785558093,113105827.05000001,9292155.58820774,112187342.1923077,7505568.07029876,112419342.0235577,5579791.1431305045,115414783.63814102,6581464.665727156,105904865.60000001,131945461.10000001,114825234.33983052,0,0,0.09399294251614743,0.08836715602487288,0.05667708628489909
2020-03-08,Alabama,128066130.89999999,2020,3,10,6,1,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,117933592.6,105904865.60000001,110419613.42222223,116269430.07500002,11531549.830874015,113266089.5,9372750.694600658,112679431.35128206,7667302.675079059,112709011.2514423,5665715.0763100805,115536430.08002137,6568168.444446444,105904865.60000001,131945461.10000001,114877040.31083332,0,0,0.08591732072783476,-0.02940101287046104,0.14448437027100125
2020-03-15,Alabama,132632134.0,2020,3,11,6,1,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804,128066130.89999999,106265736.60000001,108083723.8,115299597.525,9808020.960136421,114209091.625,10516765.529166425,114066637.96153846,8709084.82315767,113343807.55096155,6407980.127320567,115847345.27596155,6772080.930443074,105904865.60000001,131945461.10000001,115093254.91065574,0,0,0.035653478932422544,0.2349635262794385,0.18221939125606967
2020-03-22,Alabama,127145065.2,2020,3,12,6,1,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,132632134.0,108358279.6,109242958.2375,121608227.95,11066044.223472869,117550000.175,11682535.569505306,115920767.0076923,9914184.959237872,114109633.41442308,7437627.951135321,116240480.47211538,7138990.720227916,105904865.60000001,132632134.0,115376140.05725807,0,0,-0.041370583692787455,0.17944175987525557,0.12031500748796242
2020-03-29,Alabama,116657084.0,2020,3,13,6,1,1.0,6.123233995736766e-17,1.0,-1.6081226496766366e-16,127145065.2,131945461.10000001,110402192.675,126444230.675,6160163.346710777,120159916.25,11120180.075525865,116736420.1,10394082.686186505,114619832.23028848,7863992.796065783,116503069.03957102,7285476.317986865,105904865.60000001,132632134.0,115562948.39285715,0,0,-0.0824883072221666,-0.010823960941557798,0.016249141159455638
2020-04-05,Alabama,125185357.0,2020,4,14,6,2,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,116657084.0,107397612.3,111561427.1125,126125103.525,6752598.226296104,121197266.8,10211976.660688953,117483124.85384615,9972569.995806118,114682061.2139423,7873838.8797457535,116538939.58602071,7281476.428879779,105904865.60000001,132632134.0,115580044.26171875,0,0,0.07310548753301593,-0.02249442440210392,0.07831800447353832
