Date,State,Total
2019-01-13,Alabama,109574036.0
2019-01-20,Alabama,109864599.08888888
2019-01-27,Alabama,110155162.17777778
2019-02-03,Alabama,110445725.26666667
2019-02-10,Alabama,110736288.35555555
2019-02-17,Alabama,111026851.44444445
2019-02-24,Alabama,111317414.53333333
2019-03-03,Alabama,111607977.62222221
2019-03-10,Alabama,111898540.71111111
2019-03-17,Alabama,112189103.8
2019-03-24,Alabama,113490459.6923077
2019-03-31,Alabama,114791815.58461538
2019-04-07,Alabama,116093171.47692308
2019-04-14,Alabama,117394527.36923076
2019-04-21,Alabama,118695883.26153846
2019-04-28,Alabama,119997239.15384616
2019-05-05,Alabama,121298595.04615384
2019-05-12,Alabama,122599950.93846154
2019-05-19,Alabama,123901306.83076924
2019-05-26,Alabama,125202662.72307692
2019-06-02,Alabama,126504018.61538462
2019-06-09,Alabama,127805374.5076923
2019-06-16,Alabama,129106730.4
2019-06-23,Alabama,126770840.77777778
2019-06-30,Alabama,124434951.15555556
2019-07-07,Alabama,122099061.53333333
2019-07-14,Alabama,119763171.91111112
2019-07-21,Alabama,117427282.28888889
2019-07-28,Alabama,115091392.66666667
2019-08-04,Alabama,112755503.04444444
2019-08-11,Alabama,110419613.42222223
2019-08-18,Alabama,108083723.8
2019-08-25,Alabama,109242958.2375
2019-09-01,Alabama,110402192.675
2019-09-08,Alabama,111561427.1125
2019-09-15,Alabama,112720661.55
2019-09-22,Alabama,113879895.9875
2019-09-29,Alabama,115039130.425
2019-10-06,Alabama,116198364.8625
2019-10-13,Alabama,117357599.3
2019-10-20,Alabama,116218908.89999999
2019-10-27,Alabama,109968010.6
2019-11-03,Alabama,109664143.73333333
2019-11-10,Alabama,109360276.86666666
2019-11-17,Alabama,109056410.0
2019-11-24,Alabama,113040422.1
2019-12-01,Alabama,111536433.53333333
2019-12-08,Alabama,110032444.96666667
2019-12-15,Alabama,108528456.4
2019-12-22,Alabama,116541575.0
2019-12-29,Alabama,106949922.2
2020-01-05,Alabama,116651493.0
2020-01-12,Alabama,120522113.9
2020-01-19,Alabama,105904865.60000001
2020-01-26,Alabama,106265736.60000001
2020-02-02,Alabama,108358279.6
2020-02-09,Alabama,131945461.10000001
