Date,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Mexico,New York,North Carolina,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2019-01-13,109574036.0,109101594.60000001,58049432.2,444766890.59999996,89816716.3,49715400.0,358112985.7,198967926.5,167913696.79999998,117489218.5,60702757.5,48255942.9,91340443.0,94697654.89999999,25031692.5,89261853.2,98820411.3,161601849.1,85728575.2,37637324.0,101366118.1,16673878.0,51173890.3,30014723.099999998,34731555.300000004,240815212.20000002,182341458.0,194452564.4,77743069.7,58257574.4,197064569.3,13851887.4,97713917.2,14701327.200000001,133945172.6,472848726.3,42799315.6,10140664.299999999,153170304.29999998,100959341.5,38228549.6,84291415.5,11479224.7
2019-01-20,109864599.08888888,109804101.72222222,58105169.344444446,450081358.24444443,90080895.48888889,49580963.61111111,361626694.0222222,199621360.24444443,168112962.38888887,117481109.94444445,60887107.14444444,48170749.166666664,91510054.32222222,95079088.85555555,25010846.122222222,89196522.56666666,98697813.21111111,161495178.08888888,85837985.01111111,37521962.777777776,101460592.6111111,16686601.222222222,51670748.83333333,29904935.377777778,34866478.2,240526864.63333336,183006369.44444445,194856401.5111111,77838986.81111111,58539719.177777775,197171896.96666667,13852378.0,98136629.21111111,14723089.177777778,134249706.75555554,473807571.43333334,42859867.58888889,10124846.799999999,153592287.75555554,101013312.15555556,38360036.45555556,84306858.21111111,11516724.1
2019-01-27,110155162.17777778,110506608.84444445,58160906.48888889,455395825.88888884,90345074.67777778,49446527.222222224,365140402.34444445,200274793.9888889,168312227.97777775,117473001.3888889,61071456.78888889,48085555.43333333,91679665.64444444,95460522.81111111,24989999.744444445,89131191.93333334,98575215.12222221,161388507.07777777,85947394.82222222,37406601.55555555,101555067.12222221,16699324.444444444,52167607.36666667,29795147.655555554,35001401.1,240238517.0666667,183671280.8888889,195260238.62222221,77934903.92222223,58821863.95555555,197279224.63333336,13852868.6,98559341.22222222,14744851.155555556,134554240.91111112,474766416.56666666,42920419.57777778,10109029.299999999,154014271.2111111,101067282.81111111,38491523.311111115,84322300.92222223,11554223.5
2019-02-03,110445725.26666667,111209115.96666667,58216643.63333333,460710293.5333333,90609253.86666666,49312090.833333336,368654110.6666667,200928227.73333332,168511493.56666666,117464892.83333333,61255806.43333334,48000361.699999996,91849276.96666667,95841956.76666667,24969153.366666667,89065861.3,98452617.03333333,161281836.06666666,86056804.63333334,37291240.333333336,101649541.63333333,16712047.666666666,52664465.9,29685359.933333334,35136324.0,239950169.5,184336192.33333334,195664075.73333335,78030821.03333333,59104008.733333334,197386552.3,13853359.2,98982053.23333333,14766613.133333335,134858775.06666666,475725261.7,42980971.56666667,10093211.799999999,154436254.66666666,101121253.46666667,38623010.16666667,84337743.63333334,11591722.899999999
2019-02-10,110736288.35555555,111911623.0888889,58272380.777777776,466024761.17777777,90873433.05555555,49177654.44444445,372167818.9888889,201581661.47777778,168710759.15555555,117456784.27777778,61440156.07777778,47915167.96666666,92018888.28888889,96223390.72222222,24948306.98888889,89000530.66666667,98330018.94444445,161175165.05555555,86166214.44444445,37175879.11111111,101744016.14444444,16724770.888888888,53161324.43333333,29575572.21111111,35271246.9,239661821.93333334,185001103.7777778,196067912.84444445,78126738.14444445,59386153.51111111,197493879.96666667,13853849.799999999,99404765.24444444,14788375.111111112,135163309.2222222,476684106.8333333,43041523.55555556,10077394.299999999,154858238.12222221,101175224.12222223,38754497.02222223,84353186.34444445,11629222.299999999
2019-02-17,111026851.44444445,112614130.21111111,58328117.92222223,471339228.8222222,91137612.24444444,49043218.05555555,375681527.3111111,202235095.2222222,168910024.74444443,117448675.72222222,61624505.722222224,47829974.233333334,92188499.6111111,96604824.67777777,24927460.611111112,88935200.03333333,98207420.85555555,161068494.04444444,86275624.25555556,37060517.88888889,101838490.65555556,16737494.111111112,53658182.96666667,29465784.48888889,35406169.800000004,239373474.36666667,185666015.2222222,196471749.95555556,78222655.25555556,59668298.28888889,197601207.63333336,13854340.4,99827477.25555557,14810137.08888889,135467843.37777779,477642951.9666667,43102075.54444444,10061576.8,155280221.57777777,101229194.77777778,38885983.87777778,84368629.05555555,11666721.7
2019-02-24,111317414.53333333,113316637.33333334,58383855.06666667,476653696.46666664,91401791.43333334,48908781.666666664,379195235.6333333,202888528.96666667,169109290.3333333,117440567.16666667,61808855.36666667,47744780.5,92358110.93333332,96986258.63333333,24906614.233333334,88869869.4,98084822.76666667,160961823.03333333,86385034.06666666,36945156.666666664,101932965.16666667,16750217.333333334,54155041.5,29355996.766666666,35541092.7,239085126.8,186330926.66666666,196875587.06666666,78318572.36666667,59950443.06666666,197708535.3,13854831.0,100250189.26666668,14831899.066666666,135772377.53333333,478601797.1,43162627.53333333,10045759.3,155702205.03333333,101283165.43333334,39017470.733333334,84384071.76666667,11704221.1
2019-03-03,111607977.62222221,114019144.45555556,58439592.21111111,481968164.1111111,91665970.62222221,48774345.277777776,382708943.95555556,203541962.7111111,169308555.92222223,117432458.6111111,61993205.01111112,47659586.766666666,92527722.25555556,97367692.58888888,24885767.855555557,88804538.76666667,97962224.67777778,160855152.02222222,86494443.87777779,36829795.44444445,102027439.67777778,16762940.555555556,54651900.03333333,29246209.044444446,35676015.6,238796779.23333332,186995838.1111111,197279424.1777778,78414489.47777778,60232587.844444446,197815862.96666667,13855321.6,100672901.27777779,14853661.044444446,136076911.68888888,479560642.23333335,43223179.52222222,10029941.8,156124188.4888889,101337136.0888889,39148957.58888889,84399514.47777778,11741720.499999998
2019-03-10,111898540.71111111,114721651.57777779,58495329.35555556,487282631.7555555,91930149.81111111,48639908.88888889,386222652.2777778,204195396.45555556,169507821.5111111,117424350.05555555,62177554.65555556,47574393.03333333,92697333.57777777,97749126.54444444,24864921.47777778,88739208.13333334,97839626.58888888,160748481.0111111,86603853.68888889,36714434.222222224,102121914.18888889,16775663.777777778,55148758.56666667,29136421.32222222,35810938.5,238508431.66666666,187660749.55555555,197683261.2888889,78510406.5888889,60514732.62222222,197923190.63333336,13855812.2,101095613.2888889,14875423.022222223,136381445.84444445,480519487.3666667,43283731.51111111,10014124.3,156546171.94444445,101391106.74444444,39280444.44444445,84414957.18888889,11779219.899999999
2019-03-17,112189103.8,115424158.7,58551066.5,492597099.4,92194329.0,48505472.5,389736360.6,204848830.2,169707087.1,117416241.5,62361904.300000004,47489199.3,92866944.89999999,98130560.5,24844075.1,88673877.5,97717028.5,160641810.0,86713263.5,36599073.0,102216388.7,16788387.0,55645617.1,29026633.6,35945861.4,238220084.1,188325661.0,198087098.4,78606323.7,60796877.4,198030518.3,13856302.799999999,101518325.30000001,14897185.0,136685980.0,481478332.5,43344283.5,9998306.8,156968155.4,101445077.4,39411931.300000004,84430399.9,11816719.299999999
